observation_date;REAL_GDP;UN_RATE_USA;M3
1990-01-01;900127,688;5,800;3178700000000,00
1990-04-01;946121,660;5,300;3205300000000,00
1990-07-01;959819,157;5,567;3240366666666,67
1990-10-01;991720,737;5,800;3264566666666,67
1991-01-01;960533,544;7,200;3304700000000,00
1991-04-01;1005072,896;6,733;3342433333333,33
1991-07-01;1023866,900;6,633;3355333333333,33
1991-10-01;1064831,480;6,700;3365933333333,33
1992-01-01;1037595,905;8,033;3395033333333,33
1992-04-01;1087386,683;7,500;3397233333333,33
1992-07-01;1106977,162;7,467;3401000000000,00
1992-10-01;1158437,603;7,033;3425000000000,00
1993-01-01;1119061,895;7,733;3415100000000,00
1993-04-01;1169488,117;6,967;3430200000000,00
1993-07-01;1192263,750;6,667;3446633333333,33
1993-10-01;1246834,209;6,233;3467100000000,00
1994-01-01;1212696,459;7,067;3476900000000,00
1994-04-01;1269856,073;6,100;3483866666666,67
1994-07-01;1296798,736;5,900;3486666666666,67
1994-10-01;1350910,225;5,267;3485966666666,67
1995-01-01;1309267,276;5,933;3491133333333,33
1995-04-01;1360206,343;5,633;3524100000000,00
1995-07-01;1385204,571;5,633;3586166666666,67
1995-10-01;1436413,606;5,233;3620933333333,33
1996-01-01;1400395,664;6,033;3665566666666,67
1996-04-01;1464473,651;5,433;3709966666666,67
1996-07-01;1491277,980;5,233;3744933333333,33
1996-10-01;1552592,144;4,967;3790433333333,33
1997-01-01;1514389,884;5,700;3837366666666,67
1997-04-01;1581396,379;4,900;3880700000000,00
1997-07-01;1615751,798;4,833;3941366666666,67
1997-10-01;1674494,527;4,367;4003166666666,67
1998-01-01;1619114,048;5,067;4076400000000,00
1998-04-01;1689922,423;4,333;4152633333333,33
1998-07-01;1720961,653;4,533;4223133333333,33
1998-10-01;1793219,674;4,100;4332866666666,67
1999-01-01;1741148,699;4,633;4409866666666,67
1999-04-01;1820107,368;4,200;4474066666666,67
1999-07-01;1853311,188;4,267;4540766666666,67
1999-10-01;1941080,149;3,767;4602733333333,33
2000-01-01;1895535,620;4,400;4674833333333,33
2000-04-01;2000722,487;3,867;4753200000000,00
2000-07-01;2018853,005;4,033;4809066666666,67
2000-10-01;2090630,179;3,667;4880300000000,00
2001-01-01;2029551,809;4,600;5009100000000,00
2001-04-01;2116670,526;4,333;5135600000000,00
2001-07-01;2121170,853;4,767;5250933333333,33
2001-10-01;2176615,316;5,233;5371666666666,67
2002-01-01;2119227,506;6,167;5465600000000,00
2002-04-01;2201745,079;5,733;5509066666666,67
2002-07-01;2235623,202;5,667;5613333333333,33
2002-10-01;2308573,330;5,533;5728800000000,00
2003-01-01;2250888,217;6,367;5823366666666,67
2003-04-01;2330191,854;6,033;5938800000000,00
2003-07-01;2388004,620;6,033;6059433333333,33
2003-10-01;2491420,665;5,533;6053733333333,33
2004-01-01;2449307,573;6,100;6100566666666,67
2004-04-01;2563226,030;5,500;6230233333333,33
2004-07-01;2610349,928;5,400;6299933333333,33
2004-10-01;2733691,671;5,133;6383766666666,67
2005-01-01;2686030,960;5,633;6419800000000,00
2005-04-01;2810957,335;5,000;6464933333333,33
2005-07-01;2901884,767;4,967;6557066666666,67
2005-10-01;3000306,264;4,667;6644633333333,33
2006-01-01;2970863,914;5,000;6731533333333,33
2006-04-01;3110681,631;4,567;6803466666666,67
2006-07-01;3133512,657;4,667;6902100000000,00
