DATE,CLVMNACNSAB1GQDE
1991-01-01,500399.7
1991-04-01,506059.9
1991-07-01,511789.9
1991-10-01,525835.5
1992-01-01,514864.5
1992-04-01,513257.3
1992-07-01,522201.8
1992-10-01,533102.8
1993-01-01,502426.2
1993-04-01,509553.8
1993-07-01,519616.3
1993-10-01,531495.6
1994-01-01,514095.9
1994-04-01,520454.8
1994-07-01,531006.5
1994-10-01,546938.8
1995-01-01,525206.6
1995-04-01,530377.6
1995-07-01,538064.2
1995-10-01,551411.0
1996-01-01,524228.3
1996-04-01,534011.2
1996-07-01,545681.0
1996-10-01,558608.5
1997-01-01,525835.5
1997-04-01,549594.1
1997-07-01,556232.6
1997-10-01,569579.4
1998-01-01,548336.3
1998-04-01,553367.6
1998-07-01,566644.5
1998-10-01,577335.9
1999-01-01,553157.9
1999-04-01,562521.7
1999-07-01,577126.3
1999-10-01,595224.8
2000-01-01,576637.1
2000-04-01,584673.1
2000-07-01,591730.9
2000-10-01,601444.0
2001-01-01,589285.1
2001-04-01,593967.0
2001-07-01,600256.0
2001-10-01,610737.8
2002-01-01,579292.5
2002-04-01,594036.9
2002-07-01,605147.5
2002-10-01,610947.4
2003-01-01,576637.1
2003-04-01,585791.2
2003-07-01,600605.4
2003-10-01,609480.0
2004-01-01,586210.5
2004-04-01,596692.2
2004-07-01,603260.8
2004-10-01,614511.2
2005-01-01,582227.4
2005-04-01,603540.3
2005-07-01,610388.4
2005-10-01,621988.2
2006-01-01,607174.0
2006-04-01,619822.0
2006-07-01,631980.9
2006-10-01,651407.1
2007-01-01,631631.5
2007-04-01,639178.3
2007-07-01,650568.5
2007-10-01,663705.7
2008-01-01,644139.7
2008-04-01,657905.8
2008-07-01,656927.5
2008-10-01,651057.7
2009-01-01,601094.6
2009-04-01,605776.4
2009-07-01,620940.1
2009-10-01,633588.1
2010-01-01,616258.2
2010-04-01,634636.2
2010-07-01,650079.4
2010-10-01,663426.2
2011-01-01,655599.8
2011-04-01,658674.4
2011-07-01,673907.9
2011-10-01,676563.3
2012-01-01,665382.8
2012-04-01,661399.7
2012-07-01,673488.7
2012-10-01,675864.5
2013-01-01,655180.5
2013-04-01,666850.2
2013-07-01,681384.9
2013-10-01,684250.0
2014-01-01,676283.8
2014-04-01,676283.8
2014-07-01,693823.3
2014-10-01,700881.0
2015-01-01,685018.6
2015-04-01,688372.8
2015-07-01,706191.8
2015-10-01,715555.5
2016-01-01,698575.0
2016-04-01,713738.7
2016-07-01,719468.7
2016-10-01,725687.9
2017-01-01,723801.2
2017-04-01,720936.1
2017-07-01,737497.3
2017-10-01,745673.1
2018-01-01,735680.5
2018-04-01,738964.8
2018-07-01,745533.4
2018-10-01,752311.6
2019-01-01,742388.8
2019-04-01,738545.5
2019-07-01,753010.4
